# x_m;y_m
-78.0000;90.2000
-78.0000;91.0000
-78.0000;91.8000
-78.0000;92.6000
-78.0000;93.4000
-78.0000;94.2000
-78.0000;95.0000
-78.0000;95.8000
-78.0000;96.6000
-78.0000;97.4000
-78.0000;98.2000
-77.2000;39.8000
-77.2000;40.6000
-77.2000;41.4000
-77.2000;42.2000
-77.2000;43.0000
-77.2000;43.8000
-77.2000;44.6000
-77.2000;45.4000
-77.2000;46.2000
-77.2000;47.0000
-77.2000;47.8000
-77.2000;48.6000
-77.2000;49.4000
-77.2000;50.2000
-77.2000;90.2000
-77.2000;91.0000
-77.2000;91.8000
-77.2000;92.6000
-77.2000;93.4000
-77.2000;94.2000
-77.2000;95.0000
-77.2000;95.8000
-77.2000;96.6000
-77.2000;97.4000
-77.2000;98.2000
-77.2000;99.0000
-77.2000;99.8000
-76.4000;38.2000
-76.4000;39.0000
-76.4000;39.8000
-76.4000;40.6000
-76.4000;41.4000
-76.4000;42.2000
-76.4000;43.0000
-76.4000;43.8000
-76.4000;44.6000
-76.4000;45.4000
-76.4000;46.2000
-76.4000;47.0000
-76.4000;47.8000
-76.4000;92.6000
-76.4000;93.4000
-76.4000;94.2000
-76.4000;95.0000
-76.4000;95.8000
-76.4000;96.6000
-76.4000;97.4000
-76.4000;98.2000
-76.4000;99.0000
-76.4000;99.8000
-76.4000;100.6000
-76.4000;101.4000
-75.6000;36.6000
-75.6000;37.4000
-75.6000;38.2000
-75.6000;39.0000
-75.6000;39.8000
-75.6000;40.6000
-75.6000;41.4000
-75.6000;42.2000
-75.6000;43.0000
-75.6000;43.8000
-75.6000;44.6000
-75.6000;45.4000
-75.6000;95.0000
-75.6000;95.8000
-75.6000;96.6000
-75.6000;97.4000
-75.6000;98.2000
-75.6000;99.0000
-75.6000;99.8000
-75.6000;100.6000
-75.6000;101.4000
-75.6000;102.2000
-75.6000;103.0000
-74.8000;35.0000
-74.8000;35.8000
-74.8000;36.6000
-74.8000;37.4000
-74.8000;38.2000
-74.8000;39.0000
-74.8000;39.8000
-74.8000;40.6000
-74.8000;41.4000
-74.8000;42.2000
-74.8000;43.0000
-74.8000;96.6000
-74.8000;97.4000
-74.8000;98.2000
-74.8000;99.0000
-74.8000;99.8000
-74.8000;100.6000
-74.8000;101.4000
-74.8000;102.2000
-74.8000;103.0000
-74.8000;103.8000
-74.8000;104.6000
-74.0000;34.2000
-74.0000;35.0000
-74.0000;35.8000
-74.0000;36.6000
-74.0000;37.4000
-74.0000;38.2000
-74.0000;39.0000
-74.0000;39.8000
-74.0000;40.6000
-74.0000;41.4000
-74.0000;98.2000
-74.0000;99.0000
-74.0000;99.8000
-74.0000;100.6000
-74.0000;101.4000
-74.0000;102.2000
-74.0000;103.0000
-74.0000;103.8000
-74.0000;104.6000
-74.0000;105.4000
-74.0000;106.2000
-73.2000;32.6000
-73.2000;33.4000
-73.2000;34.2000
-73.2000;35.0000
-73.2000;35.8000
-73.2000;36.6000
-73.2000;37.4000
-73.2000;38.2000
-73.2000;39.0000
-73.2000;39.8000
-73.2000;99.8000
-73.2000;100.6000
-73.2000;101.4000
-73.2000;102.2000
-73.2000;103.0000
-73.2000;103.8000
-73.2000;104.6000
-73.2000;105.4000
-73.2000;106.2000
-73.2000;107.0000
-73.2000;107.8000
-72.4000;31.0000
-72.4000;31.8000
-72.4000;32.6000
-72.4000;33.4000
-72.4000;34.2000
-72.4000;35.0000
-72.4000;35.8000
-72.4000;36.6000
-72.4000;37.4000
-72.4000;38.2000
-72.4000;101.4000
-72.4000;102.2000
-72.4000;103.0000
-72.4000;103.8000
-72.4000;104.6000
-72.4000;105.4000
-72.4000;106.2000
-72.4000;107.0000
-72.4000;107.8000
-72.4000;108.6000
